"team","week","Prob"
"PIT",9,0.458063848107028
"SEA",9,0.664980875398262
"SF",9,0.45414681483579
"TB",9,0.335019124601738
"TEN",9,0.482352635554442
"WAS",9,0.466273437847189
"ARZ",10,0.497980090486233
"ATL",10,0.315222386305755
"BAL",10,0.670622844853558
"BUF",10,0.303017131094223
"CAR",10,0.517706142752756
"CHI",10,0.765030657371358
"CIN",10,0.329377155146442
"CLE",10,0.696982868905777
"DAL",10,0.480826379607427
"DET",10,0.234969342628642
"GB",10,0.482293857247244
"IND",10,0.741591895282896
"KC",10,0.782052093018927
"LAC",10,0.842434604327355
"LAR",10,0.6601267596709
"MIA",10,0.258408104717104
"MIN",10,0.519173620392573
"NO",10,0.684777613694245
"NYG",10,0.575707130739821
"NYJ",10,0.424292869260179
"OAK",10,0.157565395672645
"PIT",10,0.3398732403291
"SEA",10,0.682803575174756
"SF",10,0.317196424825244
"TB",10,0.502019909513767
"TEN",10,0.217947906981073
"ARZ",11,0.529854543817794
"ATL",11,0.510189051183227
"BAL",11,0.54495091782111
"BUF",11,0.469389412868721
"CAR",11,0.489810948816773
"CHI",11,0.512646750450704
"CIN",11,0.55445267685906
"CLE",11,0.513127021447474
"DAL",11,0.570803586690414
"DEN",11,0.513593924325611
"DET",11,0.429196413309586
"HOU",11,0.45504908217889
"IND",11,0.696095708244111
"JAX",11,0.303904291755889
"KC",11,0.660257615241221
"LAC",11,0.339742384758779
"LAR",11,0.487353249549296
"MIA",11,0.530610587131279
"MIN",11,0.486406075674389
"NE",11,0.592325621139927
"NO",11,0.775708892097939
"NYJ",11,0.509920032488801
"OAK",11,0.44554732314094
"PHI",11,0.407674378860073
"PIT",11,0.486872978552526
"SF",11,0.470145456182206
"TB",11,0.224291107902061
"WAS",11,0.490079967511199
"ATL",12,0.588909214021859
"BAL",12,0.450894866528029
"BUF",12,0.326874586942726
"CAR",12,0.334967295324443
"CHI",12,0.692338499538298
"CIN",12,0.409770060254041
"CLE",12,0.665896077847345
"DAL",12,0.278372929821928
"DEN",12,0.673125413057274
"DET",12,0.521197274705048
"GB",12,0.56606125364022
"HOU",12,0.491111878087791
"IND",12,0.508888121912209
"JAX",12,0.420540184046988
"LAR",12,0.549105133471971
"MIA",12,0.334103922152655
"NE",12,0.721627070178072
"NO",12,0.665032704675557
"NYG",12,0.307661500461702
"NYJ",12,0.609772455031877
"OAK",12,0.390227544968123
"PHI",12,0.530166555371013
"PIT",12,0.590229939745959
"SEA",12,0.469833444628987
"SF",12,0.43393874635978
"TB",12,0.411090785978141
"TEN",12,0.579459815953012
"WAS",12,0.478802725294952
"ARZ",13,0.175921178331487
"ATL",13,0.29860389427297
"BAL",13,0.78740584066714
"BUF",13,0.319031491170063
"CAR",13,0.582319913285836
"CHI",13,0.772397281774158
"CIN",13,0.562330917397986
"CLE",13,0.4135345397432
"DAL",13,0.680968508829937
"DEN",13,0.330818985130244
"DET",13,0.227602718225842
"GB",13,0.429289059701979
"HOU",13,0.421760190811646
"IND",13,0.689513841203597
"JAX",13,0.49941121142875
"KC",13,0.89689121539152
"LAC",13,0.669181014869756
"LAR",13,0.824078821668513
"MIA",13,0.399139191456296
"MIN",13,0.460568598197775
"NE",13,0.578239809188354
"NO",13,0.70139610572703
"NYG",13,0.570710940298021
"NYJ",13,0.437669082602014
"OAK",13,0.10310878460848
"PHI",13,0.600860808543704
"PIT",13,0.5864654602568
"SEA",13,0.539431401802225
"SF",13,0.21259415933286
"TB",13,0.50058878857125
"TEN",13,0.310486158796403
"WAS",13,0.417680086714164
"ARZ",14,0.332813121723261
"ATL",14,0.516445297410365
"BAL",14,0.701282244383918
"BUF",14,0.298717755616082
"CAR",14,0.483554702589635
"CHI",14,0.721737783387378
"CIN",14,0.345669611522067
"CLE",14,0.654330388477933
"DAL",14,0.278262216612622
"DEN",14,0.474413849026714
"DET",14,0.324968536652984
"GB",14,0.596818031180154
"HOU",14,0.525586150973286
"IND",14,0.701290583716483
"JAX",14,0.206273884985427
"KC",14,0.640382325779645
"LAC",14,0.793726115014573
"LAR",14,0.599774770645296
"MIA",14,0.467300870922678
"MIN",14,0.675031463347016
"NE",14,0.359617674220355
"NO",14,0.799931307715494
"NYG",14,0.386883314204351
"NYJ",14,0.532699129077322
"OAK",14,0.395670704362449
"PHI",14,0.613116685795649
"PIT",14,0.667186878276739
"SEA",14,0.400225229354704
"SF",14,0.200068692284506
"TB",14,0.298709416283517
"TEN",14,0.604329295637551
"WAS",14,0.403181968819846
"ARZ",15,0.370284091400977
"ATL",15,0.588725793654881
"BAL",15,0.739906691787478
"BUF",15,0.275811656116119
"CAR",15,0.389658603450258
"CHI",15,0.699296885723874
"CIN",15,0.269347987077312
"CLE",15,0.629715908599023
"DAL",15,0.295053299908471
"DEN",15,0.2698103500579
"DET",15,0.461290959179499
"GB",15,0.300703114276126
"HOU",15,0.584377619846001
"IND",15,0.461718820956737
"JAX",15,0.596910854491812
"KC",15,0.7301896499421
"LAC",15,0.614814444528189
"LAR",15,0.704946700091529
"MIA",15,0.363630058529361
"MIN",15,0.385185555471811
"NE",15,0.730652012922688
"NO",15,0.538281179043263
"NYG",15,0.636369941470639
"NYJ",15,0.260093308212522
"OAK",15,0.403089145508188
"PHI",15,0.600230634438463
"PIT",15,0.724188343883881
"SEA",15,0.610341396549742
