"1","0","pred","obs","Decile","Ventile","Charged_off"
0.3791,0.6209,"0","1",6,12,1
0.5227,0.4773,"1","0",3,5,0
0.2226,0.7774,"0","0",9,17,0
0.5441,0.4559,"1","1",2,4,1
0,1,"0","0",10,20,0
0.5533,0.4467,"1","1",2,4,1
0.423,0.577,"0","0",5,9,0
0.3871,0.6129,"0","0",6,12,0
0.4532,0.5468,"0","1",4,8,1
0.3202,0.6798,"0","1",7,14,1
0.6523,0.3477,"1","1",1,2,1
0.4874,0.5126,"0","1",3,6,1
0.428,0.572,"0","1",5,9,1
0.4187,0.5813,"0","1",5,10,1
0.3664,0.6336,"0","0",7,13,0
0.5355,0.4645,"1","0",2,4,0
0.3498,0.6502,"0","0",7,13,0
0,1,"0","0",10,20,0
0.4654,0.5346,"0","0",4,7,0
0.3759,0.6241,"0","0",6,12,0
0.1494,0.8506,"0","0",10,19,0
0.6305,0.3695,"1","1",1,2,1
0.6124,0.3876,"1","1",1,2,1
0.3952,0.6048,"0","1",6,11,1
0.3338,0.6662,"0","0",7,14,0
0.2921,0.7079,"0","0",8,15,0
0.331,0.669,"0","0",7,14,0
0.0685,0.9315,"0","0",10,20,0
0.4691,0.5309,"0","0",4,7,0
0.3675,0.6325,"0","0",7,13,0
0.637,0.363,"1","0",1,2,0
0.2426,0.7574,"0","0",9,17,0
0.3991,0.6009,"0","1",6,11,1
0.4524,0.5476,"0","0",4,8,0
0.3616,0.6384,"0","1",7,13,1
0.4955,0.5045,"0","0",3,6,0
0.375,0.625,"0","1",6,12,1
0.5291,0.4709,"1","0",3,5,0
0.3408,0.6592,"0","1",7,14,1
0.563,0.437,"1","0",2,3,0
0.4088,0.5912,"0","1",5,10,1
0.4534,0.5466,"0","0",4,8,0
0.6118,0.3882,"1","0",1,2,0
0.5001,0.4999,"1","1",3,6,1
0.1865,0.8135,"0","0",9,18,0
0.3729,0.6271,"0","1",6,12,1
0.0715,0.9285,"0","0",10,20,0
0.3468,0.6532,"0","1",7,13,1
0.4576,0.5424,"0","0",4,8,0
0.2929,0.7071,"0","0",8,15,0
0.3944,0.6056,"0","1",6,11,1
0.3561,0.6439,"0","0",7,13,0
0.5677,0.4323,"1","0",2,3,0
0.8942,0.1058,"1","1",1,1,1
0.264,0.736,"0","1",8,16,1
0.3414,0.6586,"0","1",7,14,1
0.2051,0.7949,"0","1",9,18,1
0.4593,0.5407,"0","1",4,8,1
0.0992,0.9008,"0","0",10,19,0
0.3569,0.6431,"0","0",7,13,0
0.4032,0.5968,"0","1",6,11,1
0.8525,0.1475,"1","1",1,1,1
0.1154,0.8846,"0","1",10,19,1
0.1375,0.8625,"0","0",10,19,0
0.324,0.676,"0","0",7,14,0
0.3681,0.6319,"0","0",7,13,0
0.419,0.581,"0","1",5,10,1
0.25,0.75,"0","0",9,17,0
0.5486,0.4514,"1","0",2,4,0
0.4273,0.5727,"0","0",5,9,0
0.7092,0.2908,"1","1",1,2,1
0.5736,0.4264,"1","0",2,3,0
0,1,"0","0",10,20,0
0.4489,0.5511,"0","0",4,8,0
0.444,0.556,"0","0",4,8,0
0.2633,0.7367,"0","0",8,16,0
0.3241,0.6759,"0","0",7,14,0
0.3918,0.6082,"0","1",6,11,1
0.4054,0.5946,"0","1",6,11,1
0.5367,0.4633,"1","0",2,4,0
0.4231,0.5769,"0","0",5,9,0
0.2403,0.7597,"0","0",9,17,0
0.2857,0.7143,"0","1",8,16,1
0.4727,0.5273,"0","0",4,7,0
0.5781,0.4219,"1","1",2,3,1
0.431,0.569,"0","1",5,9,1
0,1,"0","0",10,20,0
0.0814,0.9186,"0","0",10,20,0
0.5069,0.4931,"1","0",3,6,0
0.5418,0.4582,"1","1",2,4,1
0.3465,0.6535,"0","1",7,13,1
0.3659,0.6341,"0","0",7,13,0
0.8845,0.1155,"1","1",1,1,1
0.7854,0.2146,"1","0",1,1,0
0.6164,0.3836,"1","1",1,2,1
0.2254,0.7746,"0","0",9,17,0
0.2295,0.7705,"0","0",9,17,0
0.6031,0.3969,"1","1",1,2,1
0.6356,0.3644,"1","1",1,2,1
0.2689,0.7311,"0","0",8,16,0
0.2028,0.7972,"0","0",9,18,0
0.7958,0.2042,"1","1",1,1,1
0.5494,0.4506,"1","0",2,4,0
0.3896,0.6104,"0","0",6,11,0
0.1658,0.8342,"0","1",10,19,1
0.5308,0.4692,"1","1",3,5,1
0.4086,0.5914,"0","0",5,10,0
0.5697,0.4303,"1","0",2,3,0
0.575,0.425,"1","1",2,3,1
0.2839,0.7161,"0","0",8,16,0
0.486,0.514,"0","0",3,6,0
0.3342,0.6658,"0","1",7,14,1
0.3811,0.6189,"0","0",6,12,0
0.6512,0.3488,"1","1",1,2,1
0.3784,0.6216,"0","1",6,12,1
0.1795,0.8205,"0","0",9,18,0
0.423,0.577,"0","1",5,9,1
0.4912,0.5088,"0","1",3,6,1
0.3667,0.6333,"0","1",7,13,1
0.4043,0.5957,"0","0",6,11,0
0.4636,0.5364,"0","1",4,7,1
0.3845,0.6155,"0","1",6,12,1
0.4381,0.5619,"0","0",5,9,0
0.4358,0.5642,"0","0",5,9,0
0.2392,0.7608,"0","1",9,17,1
0.4235,0.5765,"0","1",5,9,1
0,1,"0","0",10,20,0
0.5556,0.4444,"1","0",2,3,0
0.4676,0.5324,"0","1",4,7,1
0.3112,0.6888,"0","1",8,15,1
0,1,"0","0",10,20,0
0.495,0.505,"0","1",3,6,1
0.238,0.762,"0","0",9,17,0
0.7656,0.2344,"1","1",1,1,1
0.4521,0.5479,"0","0",4,8,0
0.9144,0.0856,"1","0",1,1,0
0.9234,0.0766,"1","1",1,1,1
0.8433,0.1567,"1","1",1,1,1
0.698,0.302,"1","1",1,2,1
0.272,0.728,"0","0",8,16,0
0.4399,0.5601,"0","1",4,8,1
0,1,"0","0",10,20,0
0.326,0.674,"0","1",7,14,1
0.3889,0.6111,"0","0",6,11,0
0.4872,0.5128,"0","0",3,6,0
0.5953,0.4047,"1","0",2,3,0
0.6307,0.3693,"1","1",1,2,1
0.3927,0.6073,"0","0",6,11,0
0.5845,0.4155,"1","0",2,3,0
0.1705,0.8295,"0","1",9,18,1
0.3694,0.6306,"0","0",7,13,0
0.4305,0.5695,"0","1",5,9,1
0.4994,0.5006,"0","0",3,6,0
0.4405,0.5595,"0","1",4,8,1
0.7674,0.2326,"1","1",1,1,1
0.3569,0.6431,"0","0",7,13,0
0.5463,0.4537,"1","0",2,4,0
0.4229,0.5771,"0","0",5,9,0
0.2975,0.7025,"0","0",8,15,0
0.2125,0.7875,"0","0",9,18,0
0.433,0.567,"0","0",5,9,0
0.4422,0.5578,"0","0",4,8,0
0.2731,0.7269,"0","0",8,16,0
0.3691,0.6309,"0","0",7,13,0
0.4032,0.5968,"0","1",6,11,1
0.9008,0.0992,"1","1",1,1,1
0.3271,0.6729,"0","1",7,14,1
0.0912,0.9088,"0","1",10,19,1
0.5571,0.4429,"1","1",2,3,1
0.2415,0.7585,"0","0",9,17,0
0.5017,0.4983,"1","0",3,6,0
0.4572,0.5428,"0","0",4,8,0
0.5019,0.4981,"1","1",3,6,1
0.3951,0.6049,"0","0",6,11,0
0.4427,0.5573,"0","0",4,8,0
0.4735,0.5265,"0","1",4,7,1
0.3522,0.6478,"0","0",7,13,0
0.9488,0.0512,"1","1",1,1,1
0.3468,0.6532,"0","1",7,13,1
0.4401,0.5599,"0","0",4,8,0
0.1468,0.8532,"0","1",10,19,1
0.5927,0.4073,"1","0",2,3,0
0.4437,0.5563,"0","1",4,8,1
0.5347,0.4653,"1","1",2,4,1
0.2678,0.7322,"0","0",8,16,0
0.387,0.613,"0","1",6,12,1
0.1069,0.8931,"0","0",10,19,0
0.3886,0.6114,"0","0",6,11,0
0.1493,0.8507,"0","0",10,19,0
0.4032,0.5968,"0","1",6,11,1
0.3634,0.6366,"0","1",7,13,1
0.7545,0.2455,"1","1",1,1,1
0.4793,0.5207,"0","0",4,7,0
0.4642,0.5358,"0","1",4,7,1
0.4167,0.5833,"0","1",5,10,1
0.5388,0.4612,"1","0",2,4,0
0,1,"0","0",10,20,0
0.1834,0.8166,"0","0",9,18,0
0.2656,0.7344,"0","0",8,16,0
0.3888,0.6112,"0","1",6,11,1
0.8116,0.1884,"1","0",1,1,0
0.4422,0.5578,"0","1",4,8,1
0.4538,0.5462,"0","1",4,8,1
0.4879,0.5121,"0","1",3,6,1
0.8873,0.1127,"1","1",1,1,1
0.8456,0.1544,"1","1",1,1,1
0.3114,0.6886,"0","1",8,15,1
0.3987,0.6013,"0","0",6,11,0
0.1028,0.8972,"0","1",10,19,1
0.2523,0.7477,"0","1",8,16,1
0.2351,0.7649,"0","0",9,17,0
0,1,"0","0",10,20,0
0.4764,0.5236,"0","1",4,7,1
0.4456,0.5544,"0","0",4,8,0
0.4793,0.5207,"0","0",4,7,0
0.2117,0.7883,"0","1",9,18,1
0.4085,0.5915,"0","0",5,10,0
0.9039,0.0961,"1","1",1,1,1
0.4224,0.5776,"0","0",5,9,0
0.3029,0.6971,"0","0",8,15,0
0.3541,0.6459,"0","0",7,13,0
0.2071,0.7929,"0","1",9,18,1
0.3042,0.6958,"0","1",8,15,1
0.3798,0.6202,"0","1",6,12,1
0.3552,0.6448,"0","0",7,13,0
0.6164,0.3836,"1","1",1,2,1
0.2917,0.7083,"0","0",8,15,0
0.4118,0.5882,"0","0",5,10,0
0.224,0.776,"0","0",9,17,0
0.5084,0.4916,"1","0",3,5,0
0.3181,0.6819,"0","1",8,15,1
0.2908,0.7092,"0","0",8,16,0
